ragione_sociale;partita_iva;codice_fiscale;indirizzo;citta;forma_giuridica;codice_ateco;descrizione_ateco;fatturato;anno_fatturato;utile;anno_utile;costo_personale;anno_costo_personale;n_dipendenti;stato_attivita;link
AH.EL SAS DI ABDELMEGUID AHMED SAID ABDEL AZIZ;12565890014;12565890014;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;56.10.2;Ristorazione senza somministrazione con preparazione di cibi da asporto;;;;;;;;;https://www.companyreports.it/ahel-sas-di-abdelmeguid-ahmed-said-abdel-aziz-12565890014
SOCIETA' SEMPLICE AGRICOLA TRIBUS S.S.;12444860014;12444860014;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;01.21;Coltivazione di uva;;;;;;;;;https://www.companyreports.it/societa-semplice-agricola-tribus-ss-12444860014
CASTELLO DI CANAPA   SOCIETA' AGRICOLA A R.L.;12012770017;12012770017;Via Feletto, 4 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;01.13.21;Coltivazione di ortaggi (inclusi i meloni) in foglia a fusto a frutto in radici bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate);;;;;;;Stato Attività Inattiva Condividi + MAGGIORI INFO su Castello Di Canapa   Societa' Agricola A R.l. Codice Fiscale 12012770017 Forma giuridica Societa' a responsabilita' limitata Codice Ateco 01.13.21 Attività prevalente Coltivazione di ortaggi (inclusi i meloni) in foglia a fusto a frutto in radici bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate) Fondazione 28/01/2019 CamCom TO REA 1258224 ACQUISTA I PROSPETTI UFFICIALI nel completo anonimato. Startup o multinazionale? Il Numero Verde livella il campo. Scopri tutti i vantaggi su NumeroVerde.COM Visita il sito RIEPILOGO ORDINE SERVIZIO PREZZO DIRITTI CAMERALI OMAGGIO DIRITTI D'URGENZA OMAGGIO SUBTOTALE IVA TOTALE Completa il tuo acquisto Acquista i documenti ufficiali! Clicca sul documento che intendi acquistare e procedi con l'ordine. Usa il codice WLCM26 per ricevere il 20% di sconto sul tuo primo ordine. Offerta valida fino al 31/03/2026 cumulabile con altre iniziative in corso.;Inattiva;https://www.companyreports.it/castello-di-canapa-societa-agricola-a-rl-12012770017
OBERTO COSTRUZIONI DI OBERTO PIER GIACOMO E C. S.A.S.;11838180013;11838180013;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;41.2;Costruzione di edifici residenziali e non residenziali;;;;;;;;;https://www.companyreports.it/oberto-costruzioni-di-oberto-pier-giacomo-e-c-sas-11838180013
SOCIETA' AGRICOLA LA FAVORITA SOCIETA' SEMPLICE;11724850018;11724850018;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;01.11.1;Coltivazione di cereali (escluso il riso);;;;;;;;;https://www.companyreports.it/societa-agricola-la-favorita-societa-semplice-11724850018
HIDRA SOCIETA' COOPERATIVA;11722360010;11722360010;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;49.41;Trasporto di merci su strada;;;;;;;;;https://www.companyreports.it/hidra-societa-cooperativa-11722360010
CLAUSIUS - KEY S.R.L. IN LIQUIDAZIONE;11342650014;11342650014;Via Per Santa Maria, 9 - Aglie' ( TO );Aglie';Societa' a responsabilita' limitata;70.22.09;Altre attivita' di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;;;;;;;da 3 a 5;Attiva;https://www.companyreports.it/clausius-key-srl-in-liquidazione-11342650014
EMMETI S.N.C. - DI MASSIMILIANO CATTANEO E TOMMASO PATRIARCA;11311260019;11311260019;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;47.81.09;Commercio al dettaglio ambulante di altri prodotti alimentari e bevande nca;;;;;;;;;https://www.companyreports.it/emmeti-snc-di-massimiliano-cattaneo-e-tommaso-patriarca-11311260019
MILLOIL 2015 S.A.S. DI GENOVESE ANTONIO & C.;11268460018;11268460018;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;68.20.01;Locazione immobiliare di beni propri o in leasing (affitto);;;;;;;;;https://www.companyreports.it/milloil-2015-sas-di-genovese-antonio-c-11268460018
366 SOCIETA' SEMPLICE AGRICOLA;11112000010;11112000010;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;01.21;Coltivazione di uva;;;;;;;;;https://www.companyreports.it/366-societa-semplice-agricola-11112000010
NUOVO CASTELLO SNC DI GIACCHETTO RODOLFO STEFANO E TORRINI STEFANIA;11005350019;11005350019;Codice Fiscale Partita IVA Capitale sociale Stato attività Data di costituzione REA Codice Ateco Attività prevalente La parte relativa al numero dei dipendenti e fatturato vengono elencati: Numero esatto di dipendenti per anno;;;56.10.11;Ristorazione con somministrazione;;;;;;;;;https://www.companyreports.it/nuovo-castello-snc-di-giacchetto-rodolfo-stefano-e-torrini-stefania-11005350019
